[Thu Sep 18 2025 22:03:24 GMT+0900 (日本標準時)] Deleted message | Sender h.yui1991(1318935683888320683) | Msg restarting...(1418220863714623659)
[Thu Sep 18 2025 22:03:51 GMT+0900 (日本標準時)] Deleted message | Sender h.yui1991(1318935683888320683) | Msg restarting...(1418220979439538346)
[Thu Sep 18 2025 22:05:04 GMT+0900 (日本標準時)] Deleted message | Sender h.yui1991(1318935683888320683) | Msg restarting...(1418221284390600804)
[Thu Sep 18 2025 22:05:15 GMT+0900 (日本標準時)] Deleted message | Sender h.yui1991(1318935683888320683) | Msg restarting...(1418221330050060439)
[Thu Sep 18 2025 22:09:15 GMT+0900 (日本標準時)] Deleted message | Sender h.yui1991(1318935683888320683) | Msg restarting...(1418222336737280130)
[Thu Sep 18 2025 22:09:29 GMT+0900 (日本標準時)] Deleted message | Sender h.yui1991(1318935683888320683) | Msg shutdown...(1418222397298970695)
[Thu Sep 18 2025 22:09:50 GMT+0900 (日本標準時)] Deleted message | Sender h.yui1991(1318935683888320683) | Msg restarting...(1418222485861699735)
[Thu Sep 18 2025 22:10:04 GMT+0900 (日本標準時)] Deleted message | Sender h.yui1991(1318935683888320683) | Msg shutdown...(1418222541419446312)
[Thu Sep 18 2025 22:13:32 GMT+0900 (日本標準時)] Deleted message | Sender h.yui1991(1318935683888320683) | Msg shutdown...(1418223412597227551)
[Thu Sep 18 2025 23:19:54 GMT+0900 (日本標準時)] Deleted message | Sender h.yui1991(1318935683888320683) | Msg Command list(1418240003326214154)
[Thu Sep 18 2025 23:26:12 GMT+0900 (日本標準時)] Deleted message | Sender h.yui1991(1318935683888320683) | Msg c>change-prefix u!(1418241686022262835)
[Thu Sep 18 2025 23:26:12 GMT+0900 (日本標準時)] Deleted message | Sender h.yui1991(1318935683888320683) | Msg c>change-prefix u!(1418241686022262835)
[Thu Sep 18 2025 23:26:30 GMT+0900 (日本標準時)] Deleted message | Sender h.yui1991(1318935683888320683) | Msg c>ping(1418241736404107387)
[Thu Sep 18 2025 23:27:43 GMT+0900 (日本標準時)] Deleted message | Sender h.yui1991(1318935683888320683) | Msg u!change-prefix c>(1418242067804590223)
[Thu Sep 18 2025 23:30:06 GMT+0900 (日本標準時)] Deleted message | Sender h.yui1991(1318935683888320683) | Msg Command list(1418242570529669371)
[Thu Sep 18 2025 23:49:46 GMT+0900 (日本標準時)] Deleted message | Sender h.yui1991(1318935683888320683) | Msg Command list(1418247521540771922)
